"","ID","Sex","Partner.ID","Match","Interest.Correlation","Same.Race","Age.of.Partner","Race.of.Partner","Preference.of.Partner.Attract","Preference.of.Partner.Sincerity","Preference.of.Partner.Intelligence","Preference.of.Partner.Fun","Preference.of.Partner.Ambition","Preference.of.Partner.Shared.Interest","Decision.of.Partner","Rating.from.Partner.Attract","Rating.from.Partner.Sincerity","Rating.from.Partner.Intelligence","Rating.from.Partner.Fun","Rating.from.Partner.Ambition","Rating.from.Partner.Shared.Interest","Overall.Like","Assumed.Match.Probability","Met.Before","Age","Field","Race","Importance.Same.Race","Importance.Same.Religion","Origin","Zipcode","Income","Date.Frequency","Go.Out.Frequency","Sports","Art","Gaming","Clubbing","Yoga","Expected.Happiness","Expected.Matches","Attractiveness.1","Sincerity.1","Intelligence.1","Fun.1","Ambition.1","Shared.Interest.1","Attractiveness.2","Sincerity.2","Intelligence.2","Fun.2","Ambition.2","Shared.Interest.2","Attractiveness.3","Sincerity.3","Intelligence.3","Fun.3","Ambition.3","Shared.Interest.3","Attractiveness.4","Sincerity.4","Intelligence.4","Fun.4","Ambition.4","Attractiveness.5","Sincerity.5","Intelligence.5","Fun.5","Ambition.5","Final.Decision","Final.Attractiveness.Rating","Final.Sincerity.Rating"
"18",2,"Female",18,"No",0.07,"Yes",27,"European/Caucasian American",33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,8
"19",2,"Female",19,"Yes",0.11,"Yes",28,"European/Caucasian American",50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,6
"20",2,"Female",20,"No",0.39,"Yes",24,"European/Caucasian American",100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,6,7
"21",3,"Female",11,"No",-0.24,"Yes",27,"European/Caucasian American",35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,7,9
"22",3,"Female",12,"No",-0.14,"Yes",22,"European/Caucasian American",60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,7
"23",3,"Female",13,"No",0.09,"No",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,7,9
"24",3,"Female",14,"No",-0.04,"Yes",23,"European/Caucasian American",30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,7
"25",3,"Female",15,"No",-0.14,"No",24,"Latino/Hispanic American",30,10,20,10,10,20,1,6,10,8,6,NA,NA,6,1,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,10
"26",3,"Female",16,"No",-0.3,"Yes",25,"European/Caucasian American",50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,8,10
"27",3,"Female",17,"No",-0.26,"Yes",30,"European/Caucasian American",35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,8,9
"28",3,"Female",18,"No",0.29,"Yes",27,"European/Caucasian American",33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,7,9
"29",3,"Female",19,"No",-0.15,"Yes",28,"European/Caucasian American",50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,9,9
"30",3,"Female",20,"No",-0.47,"Yes",24,"European/Caucasian American",100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,"Economics","European/Caucasian American",8,4,"Connecticut","6,268","",3,1,3,5,4,5,7,4,2,35,10,35,10,10,0,NA,NA,NA,NA,NA,NA,50,0,20,30,0,0,8,9,8,9,8,NA,NA,NA,NA,NA,0,8,7
"31",4,"Female",11,"No",-0.18,"Yes",27,"European/Caucasian American",35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,4,10
"32",4,"Female",12,"No",-0.18,"Yes",22,"European/Caucasian American",60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,8,7
"33",4,"Female",13,"No",0.05,"No",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,NA,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,4,7
"34",4,"Female",14,"Yes",-0.18,"Yes",23,"European/Caucasian American",30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,1,8,10
"35",4,"Female",15,"No",0.21,"No",24,"Latino/Hispanic American",30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,6,9
"36",4,"Female",16,"No",0.37,"Yes",25,"European/Caucasian American",50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,5,10
"37",4,"Female",17,"No",0.35,"Yes",30,"European/Caucasian American",35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,7,10
"38",4,"Female",18,"No",0.15,"Yes",27,"European/Caucasian American",33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,0,5,9
"39",4,"Female",19,"Yes",-0.47,"Yes",28,"European/Caucasian American",50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,1,9,8
"40",4,"Female",20,"No",-0.19,"Yes",24,"European/Caucasian American",100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,"Law","European/Caucasian American",1,1,"Texas","77,096","37,754.00",5,1,1,7,5,7,8,1,2,20,20,20,20,10,10,NA,NA,NA,NA,NA,NA,30,10,15,30,5,10,7,8,9,7,8,NA,NA,NA,NA,NA,1,8,9
"41",5,"Female",11,"No",-0.43,"Yes",27,"European/Caucasian American",35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,5,8
"42",5,"Female",12,"No",0,"Yes",22,"European/Caucasian American",60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,8,6
"43",5,"Female",13,"No",-0.17,"No",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,4,6
"44",5,"Female",14,"Yes",0.08,"Yes",23,"European/Caucasian American",30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,8,5
"45",5,"Female",15,"No",-0.16,"No",24,"Latino/Hispanic American",30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,0,6,7
"46",5,"Female",16,"No",0.06,"Yes",25,"European/Caucasian American",50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,5,6
"47",5,"Female",17,"No",-0.05,"Yes",30,"European/Caucasian American",35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,6,6
"48",5,"Female",18,"No",0.07,"Yes",27,"European/Caucasian American",33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,5,5
"49",5,"Female",19,"Yes",-0.13,"Yes",28,"European/Caucasian American",50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,7,5
"50",5,"Female",20,"No",-0.06,"Yes",24,"European/Caucasian American",100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,21,"Law","European/Caucasian American",8,1,"Bowdoin College","94,022","86,340.00",4,1,7,8,6,8,3,7,10,20,5,25,25,10,15,NA,NA,NA,NA,NA,NA,50,10,10,20,5,5,6,3,6,10,8,NA,NA,NA,NA,NA,1,9,6
"51",6,"Female",11,"No",0.33,"No",27,"European/Caucasian American",35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,1,6,9
"52",6,"Female",12,"No",0.37,"No",22,"European/Caucasian American",60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,1,6,9
"53",6,"Female",13,"No",-0.51,"Yes",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,0,4,7
"54",6,"Female",14,"Yes",0.12,"No",23,"European/Caucasian American",30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,1,8,6
"55",6,"Female",15,"No",0.35,"No",24,"Latino/Hispanic American",30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,0,5,4
"56",6,"Female",16,"No",0.19,"No",25,"European/Caucasian American",50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,0,3,7
"57",6,"Female",17,"No",0.47,"No",30,"European/Caucasian American",35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,1,8,8
"58",6,"Female",18,"No",0.03,"No",27,"European/Caucasian American",33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,0,4,8
"59",6,"Female",19,"Yes",0.46,"No",28,"European/Caucasian American",50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,1,7,6
"60",6,"Female",20,"No",0.43,"No",24,"European/Caucasian American",100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,23,"law","Asian/Pacific Islander/Asian-American",1,1,"MD","20,878","60,304.00",3,1,10,7,2,6,1,4,3,10,25,20,25,5,15,NA,NA,NA,NA,NA,NA,25,10,10,25,10,20,5,7,8,9,5,NA,NA,NA,NA,NA,1,8,9
"61",7,"Female",11,"No",0.19,"No",27,"European/Caucasian American",35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,22,"Law","Asian/Pacific Islander/Asian-American",2,4,"Southern California","91,360","54,620.00",5,1,5,10,3,8,10,7,3,15,15,25,20,15,10,NA,NA,NA,NA,NA,NA,30,12,13,25,10,10,6,6,5,7,7,NA,NA,NA,NA,NA,0,4,8
"62",7,"Female",12,"No",0.21,"No",22,"European/Caucasian American",60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,22,"Law","Asian/Pacific Islander/Asian-American",2,4,"Southern California","91,360","54,620.00",5,1,5,10,3,8,10,7,3,15,15,25,20,15,10,NA,NA,NA,NA,NA,NA,30,12,13,25,10,10,6,6,5,7,7,NA,NA,NA,NA,NA,0,6,6
"63",7,"Female",13,"No",0.52,"Yes",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,NA,22,"Law","Asian/Pacific Islander/Asian-American",2,4,"Southern California","91,360","54,620.00",5,1,5,10,3,8,10,7,3,15,15,25,20,15,10,NA,NA,NA,NA,NA,NA,30,12,13,25,10,10,6,6,5,7,7,NA,NA,NA,NA,NA,0,3,6
"64",7,"Female",14,"Yes",-0.46,"No",23,"European/Caucasian American",30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,1,22,"Law","Asian/Pacific Islander/Asian-American",2,4,"Southern California","91,360","54,620.00",5,1,5,10,3,8,10,7,3,15,15,25,20,15,10,NA,NA,NA,NA,NA,NA,30,12,13,25,10,10,6,6,5,7,7,NA,NA,NA,NA,NA,1,7,8
